food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Meal,Sound Generations,Greenwood Senior Center,Open,Older Adults 60+ and Eligible Participants,"525 N 85th St, Seattle, WA 98103",47.6904002,-122.3509931,(206)-297-0875,https://www.phinneycenter.org/seniors/gsc/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/5/2025,5,False,True,False,False,False,Seattle
Meal,Sound Generations,Southeast Seattle Senior Center,Open,Older Adults 60+ and Eligible Participants,"4655 S Holly St, Seattle, WA 98118",47.5422737,-122.2729875,(206)-727-6248,https://www.soundgenerations.org/our-programs/food-security/community-dining/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,5,False,True,False,False,False,Seattle
Food Bank & Meal,Sound Generations,West Seattle Senior Center,Open,Older Adults 60+ and Eligible Participants,"4217 SW Oregon St, Seattle, WA 98116",47.5626975,-122.3864553,(206)-932-4044,https://sc-ws.org/services/food-and-dining/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/5/2025,5,False,True,False,False,False,Seattle
Meal,Sound Generations,Renton Senior Center,Open,Older Adults 60+ and Eligible Participants,"211 Burnett Ave N, Renton, WA 98057",47.4861262,-122.2077373,(425)-430-6633,https://www.rentonwa.gov/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,5,False,True,False,False,False,Renton
Meal,Teen Feed,University Congregational Church,Open,Youth and Young Adults,"4515 16th Ave NE, Seattle, WA 98105",47.6617835,-122.3111496,(206)-229-0813,https://www.teenfeed.org/programs/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/12/2025,7,True,False,False,False,True,Seattle
Meal,The Interfaith Council to Prevent Homelessness (IFCH) Community Meals,Vashon Methodist Church,Open,Contact Agency for Any Eligibility Requirements,"17928 Vashon Hwy SW, Vashon, WA, 98070",47.444043,-122.4602001,(206)-643-5169,https://ifchvashon.org/,"Monday, Tuesday, Wednesday",8/12/2025,3,False,False,False,True,False,Vashon
Food Bank,The Food Bank @ St. Mary's,The Food Bank @ St. Mary's,Open,General Public,"611 20th Ave S, Seattle, WA 98144",47.5972377,-122.3065791,(206)-324-7215,https://www.thefbsm.org/services,"Monday, Wednesday, Friday",8/7/2025,3,False,False,True,False,False,Seattle
Food Bank,The Storehouse Covington Food Bank,Real Life Church,Open,General Public,"26201 180th Ave SE, Covington, WA 98042",47.3662588,-122.1027806,(253)-631-3038,https://covingtonstorehouse.org/assistance,"Monday, Friday, Saturday",8/5/2025,3,False,False,True,False,True,Covington
Food Bank,Tukwila Pantry,Riverton Park United Methodist Church,Open,General Public,"3118 S 140th St, Tukwila, Washington 98168",47.4784931,-122.2924379,(206)-431-8293,https://tukwilapantry.org/,"Tuesday, Thursday, Saturday",8/7/2025,3,False,False,True,False,True,
Food Bank,University District Service League,University District Food Bank,Open,General Public,"5017 Roosevelt Way NE, Seattle, WA 98105",47.6655387,-122.3178395,(206)-523-7060,https://www.udistrictfoodbank.org/services/,"Monday, Tuesday, Thursday, Friday",8/7/2025,4,False,False,True,False,False,Seattle
